numero_franquicia	shift	folio	check_number	fecha	cierre	personas	mesero_id	paid	cancelado	items	total	cash	tarjeta	tip	descuento	subtotal	subtotal_desc	tax	total_descuentos	cortesias	alimentos	bebidas	notas
CA-CUN-001	2	38	3038	2024-01-22T16:48:00	2024-01-22T17:37:00	5	1032	1	0	12	$845.50	$0.00	$845.50	$135.28	$0.00	$728.88	$728.88	$116.62	$0.00	$0.00	$532.67	$312.83	
CA-CUN-001	2	39	3039	2024-01-22T15:33:00	2024-01-22T17:29:00	4	1032	1	0	11	$455.35	$0.00	$455.35	$77.41	$0.00	$392.54	$392.54	$62.81	$0.00	$0.00	$277.76	$177.59	
CA-CUN-001	2	40	3040	2024-01-22T16:01:00	2024-01-22T18:59:00	6	1031	1	0	4	$467.56	$0.00	$467.56	$60.78	$0.00	$403.07	$403.07	$64.49	$0.00	$0.00	$364.70	$102.86	
CA-CUN-001	1	41	3041	2024-01-22T11:04:00	2024-01-22T12:35:00	2	1031	1	0	7	$691.11	$0.00	$691.11	$117.49	$0.00	$595.78	$595.78	$95.33	$0.00	$69.11	$532.15	$158.96	
CA-CUN-001	3	42	3042	2024-01-22T19:28:00	2024-01-22T21:57:00	2	1032	1	0	9	$575.85	$0.00	$575.85	$69.10	$0.00	$496.42	$496.42	$79.43	$0.00	$0.00	$426.13	$149.72	
CA-CUN-001	1	43	3043	2024-01-22T09:07:00	2024-01-22T10:02:00	2	1031	1	0	5	$1,039.02	$0.00	$1,039.02	$103.90	$0.00	$895.71	$895.71	$143.31	$0.00	$0.00	$737.70	$301.32	
CA-CUN-001	3	44	3044	2024-01-22T21:07:00	2024-01-22T22:26:00	6	1032	1	0	10	$776.54	$776.54	$0.00	$77.65	$0.00	$669.43	$669.43	$107.11	$0.00	$0.00	$605.70	$170.84	
CA-CUN-001	3	45	3045	2024-01-22T22:41:00	2024-01-22T23:21:00	4	1031	1	0	7	$1,133.98	$1,133.98	$0.00	$170.10	$0.00	$977.57	$977.57	$156.41	$0.00	$0.00	$703.07	$430.91	
CA-CUN-001	3	46	3046	2024-01-22T21:35:00	2024-01-22T22:24:00	5	1031	1	0	7	$1,196.50	$1,196.50	$0.00	$215.37	$0.00	$1,031.47	$1,031.47	$165.03	$0.00	$0.00	$741.83	$454.67	
CA-CUN-001	1	47	3047	2024-01-22T08:24:00	2024-01-22T10:25:00	5	1031	1	0	2	$1,109.29	$0.00	$1,109.29	$155.30	$77.65	$956.28	$878.63	$153.01	$77.65	$0.00	$776.50	$332.79	
CA-CUN-001	1	48	3048	2024-01-22T11:34:00	2024-01-22T12:53:00	4	1031	1	0	11	$788.59	$788.59	$0.00	$165.60	$0.00	$679.82	$679.82	$108.77	$0.00	$0.00	$528.36	$260.23	
CA-CUN-001	2	49	3049	2024-01-22T14:42:00	2024-01-22T16:09:00	5	1032	1	0	9	$404.92	$0.00	$404.92	$56.69	$0.00	$349.07	$349.07	$55.85	$0.00	$0.00	$307.74	$97.18	
CA-CUN-001	2	50	3050	2024-01-22T16:22:00	2024-01-22T17:07:00	1	1032	1	0	6	$747.99	$0.00	$747.99	$74.80	$44.88	$644.82	$599.94	$103.17	$44.88	$0.00	$516.11	$231.88	
CA-CUN-001	3	51	3051	2024-01-22T19:21:00	2024-01-22T21:20:00	6	1032	1	0	8	$775.23	$0.00	$775.23	$116.28	$0.00	$668.30	$668.30	$106.93	$0.00	$0.00	$472.89	$302.34	
CA-CUN-001	3	52	3052	2024-01-22T19:34:00	2024-01-22T21:22:00	5	1031	1	0	11	$466.22	$0.00	$466.22	$60.61	$27.97	$401.91	$373.94	$64.31	$27.97	$0.00	$363.65	$102.57	
CA-CUN-001	1	53	3053	2024-01-22T09:25:00	2024-01-22T10:00:00	4	1032	1	0	2	$1,072.03	$0.00	$1,072.03	$182.25	$117.92	$924.16	$806.24	$147.87	$117.92	$0.00	$804.02	$268.01	
CA-CUN-001	2	54	3054	2024-01-22T14:42:00	2024-01-22T15:55:00	1	1031	1	0	3	$839.47	$839.47	$0.00	$92.34	$0.00	$723.68	$723.68	$115.79	$0.00	$0.00	$671.58	$167.89	
CA-CUN-001	3	55	3055	2024-01-22T22:50:00	2024-01-22T23:10:00	2	1032	1	0	9	$435.19	$0.00	$435.19	$78.33	$0.00	$375.16	$375.16	$60.03	$0.00	$0.00	$265.47	$169.72	
CA-CUN-001	3	56	3056	2024-01-22T19:43:00	2024-01-22T21:12:00	3	1031	1	0	8	$665.80	$0.00	$665.80	$99.87	$0.00	$573.97	$573.97	$91.83	$0.00	$0.00	$466.06	$199.74	
CA-CUN-001	3	57	3057	2024-01-22T20:43:00	2024-01-22T21:22:00	1	1032	1	0	5	$444.41	$444.41	$0.00	$44.44	$0.00	$383.11	$383.11	$61.30	$0.00	$0.00	$279.98	$164.43	
CA-CUN-001	3	58	3058	2024-01-22T22:02:00	2024-01-22T23:39:00	1	1031	1	0	4	$1,036.57	$0.00	$1,036.57	$186.58	$0.00	$893.59	$893.59	$142.98	$0.00	$0.00	$787.79	$248.78	
CA-CUN-001	3	59	3059	2024-01-22T22:56:00	2024-01-22T23:27:00	5	1032	1	0	6	$759.43	$0.00	$759.43	$136.70	$0.00	$654.68	$654.68	$104.75	$0.00	$0.00	$470.85	$288.58	
CA-CUN-001	1	60	3060	2024-01-22T10:50:00	2024-01-22T11:43:00	6	1032	1	0	3	$996.64	$0.00	$996.64	$99.66	$0.00	$859.17	$859.17	$137.47	$0.00	$0.00	$747.48	$249.16	
CA-CUN-001	2	61	3061	2024-01-22T16:28:00	2024-01-22T17:35:00	2	1032	1	0	11	$617.87	$0.00	$617.87	$105.04	$0.00	$532.65	$532.65	$85.22	$0.00	$0.00	$475.76	$142.11	
CA-CUN-001	1	62	3062	2024-01-22T09:40:00	2024-01-22T10:06:00	1	1031	1	0	3	$1,019.55	$0.00	$1,019.55	$122.35	$0.00	$878.92	$878.92	$140.63	$0.00	$0.00	$621.93	$397.62	
CA-CUN-001	3	63	3063	2024-01-22T22:50:00	2024-01-22T23:51:00	2	1032	1	0	9	$403.07	$0.00	$403.07	$56.43	$36.28	$347.47	$311.19	$55.60	$36.28	$0.00	$266.03	$137.04	
CA-CUN-001	3	64	3064	2024-01-22T22:45:00	2024-01-22T23:30:00	5	1031	1	0	9	$1,144.97	$0.00	$1,144.97	$240.44	$114.50	$987.04	$872.54	$157.93	$114.50	$0.00	$709.88	$435.09	
CA-CUN-001	1	65	3065	2024-01-22T09:03:00	2024-01-22T10:41:00	5	1032	1	0	7	$767.44	$0.00	$767.44	$130.46	$0.00	$661.59	$661.59	$105.85	$0.00	$0.00	$552.56	$214.88	
CA-CUN-001	1	66	3066	2024-01-22T11:25:00	2024-01-22T12:24:00	2	1031	1	0	3	$1,148.43	$0.00	$1,148.43	$195.23	$0.00	$990.03	$990.03	$158.40	$0.00	$0.00	$918.74	$229.69	
CA-CUN-001	1	67	3067	2024-01-22T08:29:00	2024-01-22T10:47:00	4	1031	1	0	12	$990.71	$0.00	$990.71	$198.14	$0.00	$854.06	$854.06	$136.65	$0.00	$0.00	$772.75	$217.96	
CA-CUN-001	2	68	3068	2024-01-22T15:37:00	2024-01-22T16:17:00	3	1031	1	0	2	$1,086.67	$1,086.67	$0.00	$108.67	$0.00	$936.78	$936.78	$149.89	$0.00	$0.00	$673.74	$412.93	
CA-CUN-001	2	69	3069	2024-01-22T16:21:00	2024-01-22T18:33:00	3	1032	1	0	4	$803.77	$0.00	$803.77	$152.72	$0.00	$692.91	$692.91	$110.86	$0.00	$0.00	$530.49	$273.28	
CA-CUN-001	2	70	3070	2024-01-22T16:31:00	2024-01-22T17:31:00	6	1031	1	0	3	$788.34	$788.34	$0.00	$126.13	$0.00	$679.60	$679.60	$108.74	$0.00	$0.00	$630.67	$157.67	
CA-CUN-001	2	71	3071	2024-01-22T13:05:00	2024-01-22T15:51:00	1	1031	1	0	4	$1,099.03	$1,099.03	$0.00	$164.85	$0.00	$947.44	$947.44	$151.59	$0.00	$0.00	$802.29	$296.74	
CA-CUN-001	2	72	3072	2024-01-22T14:15:00	2024-01-22T16:25:00	4	1031	1	0	3	$482.03	$0.00	$482.03	$57.84	$38.56	$415.54	$376.98	$66.49	$38.56	$0.00	$298.86	$183.17	
CA-CUN-001	2	73	3073	2024-01-22T16:40:00	2024-01-22T17:45:00	3	1031	1	0	2	$756.26	$0.00	$756.26	$143.69	$0.00	$651.95	$651.95	$104.31	$0.00	$0.00	$597.45	$158.81	
CA-CUN-001	1	74	3074	2024-01-22T11:05:00	2024-01-22T12:03:00	5	1031	1	0	5	$656.87	$0.00	$656.87	$131.37	$0.00	$566.27	$566.27	$90.60	$0.00	$0.00	$446.67	$210.20	
CA-CUN-001	1	75	3075	2024-01-22T08:53:00	2024-01-22T10:34:00	6	1031	1	0	2	$530.58	$530.58	$0.00	$58.36	$0.00	$457.40	$457.40	$73.18	$0.00	$0.00	$350.18	$180.40	
CA-CUN-001	2	76	3076	2024-01-22T15:16:00	2024-01-22T17:30:00	1	1032	1	0	4	$504.42	$0.00	$504.42	$75.66	$0.00	$434.84	$434.84	$69.58	$0.00	$0.00	$363.18	$141.24	
CA-CUN-001	3	77	3077	2024-01-22T21:35:00	2024-01-22T23:30:00	6	1032	1	0	5	$895.22	$0.00	$895.22	$161.14	$0.00	$771.74	$771.74	$123.48	$0.00	$0.00	$644.56	$250.66	
CA-CUN-001	2	78	3078	2024-01-22T16:43:00	2024-01-22T18:00:00	2	1032	1	0	12	$515.20	$0.00	$515.20	$92.74	$0.00	$444.14	$444.14	$71.06	$0.00	$0.00	$381.25	$133.95	
CA-CUN-001	3	79	3079	2024-01-22T22:43:00	2024-01-22T23:48:00	2	1032	1	0	11	$777.65	$0.00	$777.65	$69.99	$0.00	$670.39	$670.39	$107.26	$0.00	$0.00	$497.70	$279.95	
CA-CUN-001	2	80	3080	2024-01-22T13:25:00	2024-01-22T15:14:00	6	1032	1	0	3	$1,198.62	$1,198.62	$0.00	$107.88	$0.00	$1,033.29	$1,033.29	$165.33	$0.00	$0.00	$958.90	$239.72	
