numero_franquicia	turno_id	folio	numero_cheque	fecha	cierre	numero_de_personas	mesero_id	pagado	cancelado	total_articulos	total	efectivo	tarjeta	propina	descuento	subtotal	subtotal_con_descuento	total_impuesto	total_descuentos	total_cortesias	total_alimentos	total_bebidas
FD-GDL-001	3	13	3013	2024-01-22T22:24:00	2024-01-22T23:58:00	2	1007	1	0	3	565.7	565.7	0	84.86	0	487.67	487.67	78.03	0	0	373.36	192.34
FD-GDL-001	2	14	3014	2024-01-22T14:02:00	2024-01-22T15:58:00	6	1007	1	0	2	766.25	0	766.25	76.63	0	660.56	660.56	105.69	0	0	551.7	214.55
FD-GDL-001	3	15	3015	2024-01-22T22:46:00	2024-01-22T23:16:00	6	1007	1	0	10	385.21	385.21	0	50.08	0	332.08	332.08	53.13	0	0	300.46	84.75
FD-GDL-001	1	16	3016	2024-01-22T10:34:00	2024-01-22T11:51:00	5	1007	1	0	5	440.7	440.7	0	52.88	0	379.91	379.91	60.79	0	44.07	321.71	118.99
FD-GDL-001	2	17	3017	2024-01-22T13:48:00	2024-01-22T14:35:00	4	1008	1	0	6	578.6	0	578.6	81	0	498.79	498.79	79.81	0	0	451.31	127.29
FD-GDL-001	1	18	3018	2024-01-22T08:12:00	2024-01-22T10:10:00	4	1008	1	0	3	799.32	799.32	0	63.95	0	689.07	689.07	110.25	0	0	607.48	191.84
FD-GDL-001	2	19	3019	2024-01-22T14:28:00	2024-01-22T15:39:00	6	1008	1	0	11	424.03	0	424.03	63.6	50.88	365.54	314.66	58.49	50.88	0	271.38	152.65
FD-GDL-001	3	20	3020	2024-01-22T20:43:00	2024-01-22T22:03:00	4	1007	1	0	10	467.49	0	467.49	51.42	0	403.01	403.01	64.48	0	0	308.54	158.95
FD-GDL-001	2	21	3021	2024-01-22T15:07:00	2024-01-22T17:22:00	2	1008	1	0	7	699.91	0	699.91	55.99	0	603.37	603.37	96.54	0	0	552.93	146.98
FD-GDL-001	1	22	3022	2024-01-22T11:18:00	2024-01-22T13:10:00	2	1007	1	0	7	554.59	554.59	0	44.37	0	478.09	478.09	76.5	0	0	438.13	116.46
FD-GDL-001	2	23	3023	2024-01-22T15:45:00	2024-01-22T17:58:00	1	1008	1	0	3	545.02	0	545.02	54.5	0	469.84	469.84	75.18	0	0	327.01	218.01
FD-GDL-001	3	24	3024	2024-01-22T22:55:00	2024-01-22T23:44:00	3	1007	1	0	3	758.76	0	758.76	106.23	0	654.1	654.1	104.66	0	0	523.54	235.22
FD-GDL-001	1	25	3025	2024-01-22T09:45:00	2024-01-22T11:11:00	4	1008	1	0	3	783.75	783.75	0	94.05	0	675.65	675.65	108.1	0	0	611.33	172.42
FD-GDL-001	2	26	3026	2024-01-22T14:45:00	2024-01-22T15:04:00	5	1008	1	0	11	657.7	657.7	0	65.77	0	566.98	566.98	90.72	0	0	473.54	184.16
FD-GDL-001	1	27	3027	2024-01-22T10:28:00	2024-01-22T11:32:00	5	1007	1	0	12	756.8	756.8	0	60.54	0	652.41	652.41	104.39	0	0	597.87	158.93
FD-GDL-001	1	28	3028	2024-01-22T08:32:00	2024-01-22T10:45:00	5	1007	1	0	6	557.36	0	557.36	83.6	0	480.48	480.48	76.88	0	0	440.31	117.05
FD-GDL-001	1	29	3029	2024-01-22T09:09:00	2024-01-22T10:29:00	1	1007	1	0	6	423	423	0	54.99	0	364.66	364.66	58.34	0	0	300.33	122.67
FD-GDL-001	1	30	3030	2024-01-22T08:51:00	2024-01-22T10:41:00	2	1008	1	0	11	477.9	0	477.9	71.68	57.35	411.98	354.63	65.92	57.35	0	324.97	152.93
FD-GDL-001	2	31	3031	2024-01-22T16:34:00	2024-01-22T17:37:00	2	1007	1	0	6	324.95	324.95	0	48.74	0	280.13	280.13	44.82	0	0	211.22	113.73
FD-GDL-001	3	32	3032	2024-01-22T19:40:00	2024-01-22T21:51:00	6	1007	1	0	4	592.34	0	592.34	53.31	35.54	510.64	475.1	81.7	35.54	0	361.33	231.01
FD-GDL-001	1	33	3033	2024-01-22T10:11:00	2024-01-22T11:45:00	3	1008	1	0	8	631.43	631.43	0	88.4	0	544.34	544.34	87.09	0	0	435.69	195.74
FD-GDL-001	3	34	3034	2024-01-22T21:56:00	2024-01-22T23:22:00	1	1007	1	0	6	315.42	0	315.42	53.62	0	271.91	271.91	43.51	0	0	205.02	110.4
FD-GDL-001	2	35	3035	2024-01-22T16:38:00	2024-01-22T18:29:00	3	1008	1	0	8	748.8	748.8	0	97.34	0	645.52	645.52	103.28	0	0	494.21	254.59
FD-GDL-001	2	36	3036	2024-01-22T16:02:00	2024-01-22T18:11:00	1	1008	1	0	7	397.62	0	397.62	55.67	0	342.78	342.78	54.84	0	0	242.55	155.07
FD-GDL-001	1	37	3037	2024-01-22T08:24:00	2024-01-22T09:15:00	3	1007	1	0	11	460.89	0	460.89	78.35	0	397.32	397.32	63.57	0	0	354.89	106
FD-GDL-001	2	38	3038	2024-01-22T15:20:00	2024-01-22T17:20:00	5	1007	1	0	3	335.65	0	335.65	33.57	0	289.35	289.35	46.3	0	0	265.16	70.49
FD-GDL-001	1	39	3039	2024-01-22T10:39:00	2024-01-22T12:28:00	2	1007	1	0	5	511.43	0	511.43	40.91	0	440.89	440.89	70.54	0	0	332.43	179
FD-GDL-001	1	40	3040	2024-01-22T09:28:00	2024-01-22T10:09:00	5	1008	1	0	10	790.7	0	790.7	71.16	0	681.64	681.64	109.06	0	0	624.65	166.05
FD-GDL-001	2	41	3041	2024-01-22T14:43:00	2024-01-22T15:02:00	6	1008	1	0	7	391.13	391.13	0	54.76	0	337.18	337.18	53.95	0	0	265.97	125.16
FD-GDL-001	2	42	3042	2024-01-22T13:41:00	2024-01-22T14:43:00	2	1008	1	0	10	798.22	0	798.22	111.75	0	688.12	688.12	110.1	0	0	486.91	311.31
FD-GDL-001	2	43	3043	2024-01-22T14:37:00	2024-01-22T16:13:00	4	1007	1	0	12	658.92	658.92	0	65.89	0	568.03	568.03	90.89	0	0	448.07	210.85
FD-GDL-001	1	44	3044	2024-01-22T10:38:00	2024-01-22T11:56:00	2	1007	1	0	9	744.51	0	744.51	119.12	0	641.82	641.82	102.69	0	0	565.83	178.68
FD-GDL-001	2	45	3045	2024-01-22T13:06:00	2024-01-22T14:06:00	6	1008	1	0	9	318.86	0	318.86	28.7	0	274.88	274.88	43.98	0	0	223.2	95.66
FD-GDL-001	2	46	3046	2024-01-22T16:39:00	2024-01-22T18:56:00	6	1008	1	0	2	691.13	0	691.13	55.29	62.2	595.8	533.6	95.33	62.2	0	539.08	152.05
FD-GDL-001	1	47	3047	2024-01-22T10:39:00	2024-01-22T11:23:00	5	1007	1	0	9	536.66	0	536.66	53.67	0	462.64	462.64	74.02	0	0	348.83	187.83
FD-GDL-001	2	48	3048	2024-01-22T15:44:00	2024-01-22T16:35:00	3	1008	1	0	9	646.14	0	646.14	64.61	0	557.02	557.02	89.12	0	0	407.07	239.07
FD-GDL-001	2	49	3049	2024-01-22T13:46:00	2024-01-22T15:09:00	2	1008	1	0	8	584.96	584.96	0	76.04	0	504.28	504.28	80.68	0	0	444.57	140.39
FD-GDL-001	2	50	3050	2024-01-22T13:01:00	2024-01-22T14:11:00	1	1007	1	0	6	486.82	486.82	0	58.42	0	419.67	419.67	67.15	0	0	306.7	180.12
FD-GDL-001	3	51	3051	2024-01-22T20:13:00	2024-01-22T21:35:00	1	1008	1	0	4	393.2	0	393.2	39.32	0	338.97	338.97	54.23	0	0	287.04	106.16
FD-GDL-001	1	52	3052	2024-01-22T09:17:00	2024-01-22T10:45:00	6	1008	1	0	2	782.76	0	782.76	109.59	0	674.79	674.79	107.97	0	0	493.14	289.62
FD-GDL-001	3	53	3053	2024-01-22T22:55:00	2024-01-22T23:32:00	2	1007	1	0	9	484.54	484.54	0	62.99	0	417.71	417.71	66.83	0	0	339.18	145.36
FD-GDL-001	2	54	3054	2024-01-22T13:56:00	2024-01-22T15:33:00	5	1008	1	0	6	438.89	0	438.89	52.67	0	378.35	378.35	60.54	0	0	307.22	131.67
FD-GDL-001	2	55	3055	2024-01-22T14:37:00	2024-01-22T16:26:00	2	1008	1	0	11	661.13	661.13	0	66.11	0	569.94	569.94	91.19	0	0	515.68	145.45
FD-GDL-001	1	56	3056	2024-01-22T11:15:00	2024-01-22T13:54:00	3	1007	1	0	2	330.7	330.7	0	56.22	0	285.09	285.09	45.61	0	0	205.03	125.67
FD-GDL-001	2	57	3057	2024-01-22T13:25:00	2024-01-22T14:56:00	5	1008	1	0	9	582.57	582.57	0	64.08	0	502.22	502.22	80.35	0	0	396.15	186.42
FD-GDL-001	3	58	3058	2024-01-22T19:16:00	2024-01-22T20:15:00	3	1008	1	0	5	429.36	429.36	0	51.52	0	370.14	370.14	59.22	0	0	343.49	85.87
FD-GDL-001	1	59	3059	2024-01-22T11:14:00	2024-01-22T12:18:00	3	1008	1	0	4	562.73	562.73	0	84.41	0	485.11	485.11	77.62	0	0	422.05	140.68
FD-GDL-001	2	60	3060	2024-01-22T14:01:00	2024-01-22T15:15:00	4	1008	1	0	6	411.7	0	411.7	53.52	0	354.91	354.91	56.79	0	0	325.24	86.46
FD-GDL-001	2	61	3061	2024-01-22T14:04:00	2024-01-22T16:16:00	4	1008	1	0	9	697.66	0	697.66	83.72	0	601.43	601.43	96.23	0	0	495.34	202.32
FD-GDL-001	2	62	3062	2024-01-22T15:48:00	2024-01-22T17:34:00	4	1008	1	0	7	353.91	353.91	0	38.93	0	305.09	305.09	48.82	0	0	240.66	113.25
FD-GDL-001	1	63	3063	2024-01-22T08:36:00	2024-01-22T10:38:00	5	1008	1	0	7	778.06	778.06	0	77.81	0	670.74	670.74	107.32	0	0	567.98	210.08
FD-GDL-001	1	64	3064	2024-01-22T10:33:00	2024-01-22T12:09:00	2	1007	1	0	6	442.5	0	442.5	66.38	0	381.47	381.47	61.03	0	0	327.45	115.05
FD-GDL-001	2	65	3065	2024-01-22T16:42:00	2024-01-22T17:59:00	5	1007	1	0	4	593.4	0	593.4	94.94	0	511.55	511.55	81.85	0	0	468.79	124.61
FD-GDL-001	3	66	3066	2024-01-22T21:31:00	2024-01-22T23:53:00	3	1007	1	0	5	356.61	0	356.61	49.93	0	307.42	307.42	49.19	0	0	281.72	74.89
FD-GDL-001	2	67	3067	2024-01-22T15:17:00	2024-01-22T16:11:00	4	1008	1	0	7	782.8	0	782.8	101.76	0	674.83	674.83	107.97	0	0	579.27	203.53
FD-GDL-001	3	68	3068	2024-01-22T21:24:00	2024-01-22T22:47:00	3	1008	1	0	8	668.22	668.22	0	60.14	0	576.05	576.05	92.17	0	0	487.8	180.42
FD-GDL-001	2	69	3069	2024-01-22T16:02:00	2024-01-22T17:58:00	5	1007	1	0	5	362.5	0	362.5	47.13	0	312.5	312.5	50	0	0	282.75	79.75
FD-GDL-001	2	70	3070	2024-01-22T13:05:00	2024-01-22T15:43:00	3	1007	1	0	4	610.07	610.07	0	73.21	0	525.92	525.92	84.15	0	0	396.55	213.52
FD-GDL-001	2	71	3071	2024-01-22T16:45:00	2024-01-22T18:22:00	1	1007	1	0	8	796.04	0	796.04	103.49	0	686.24	686.24	109.8	0	0	501.51	294.53
FD-GDL-001	3	72	3072	2024-01-22T19:02:00	2024-01-22T21:43:00	4	1007	1	0	5	649.13	0	649.13	84.39	0	559.59	559.59	89.54	0	0	421.93	227.2
FD-GDL-001	1	73	3073	2024-01-22T08:07:00	2024-01-22T09:26:00	4	1007	1	0	6	374.1	374.1	0	41.15	0	322.5	322.5	51.6	0	37.41	231.94	142.16
FD-GDL-001	3	74	3074	2024-01-22T21:56:00	2024-01-22T23:03:00	4	1008	1	0	3	313.85	0	313.85	37.66	0	270.56	270.56	43.29	0	0	241.66	72.19
FD-GDL-001	3	75	3075	2024-01-22T20:54:00	2024-01-22T21:03:00	1	1007	1	0	9	601.33	0	601.33	78.17	0	518.39	518.39	82.94	0	0	396.88	204.45
FD-GDL-001	3	76	3076	2024-01-22T21:04:00	2024-01-22T22:12:00	5	1008	1	0	11	406.89	0	406.89	56.96	0	350.77	350.77	56.12	0	0	288.89	118
FD-GDL-001	3	77	3077	2024-01-22T19:32:00	2024-01-22T21:48:00	5	1007	1	0	8	599.28	0	599.28	53.94	0	516.62	516.62	82.66	0	0	407.51	191.77
FD-GDL-001	1	78	3078	2024-01-22T10:15:00	2024-01-22T12:31:00	4	1007	1	0	7	390.31	0	390.31	46.84	0	336.47	336.47	53.84	0	0	234.19	156.12
FD-GDL-001	1	79	3079	2024-01-22T11:59:00	2024-01-22T13:47:00	4	1007	1	0	10	643.41	0	643.41	83.64	0	554.66	554.66	88.75	0	0	501.86	141.55
FD-GDL-001	1	80	3080	2024-01-22T11:54:00	2024-01-22T13:42:00	6	1008	1	0	4	742.73	0	742.73	118.84	0	640.28	640.28	102.45	0	0	482.77	259.96
FD-GDL-001	1	81	3081	2024-01-22T09:31:00	2024-01-22T10:06:00	2	1007	1	0	10	734.56	0	734.56	95.49	0	633.24	633.24	101.32	0	0	587.65	146.91
FD-GDL-001	3	82	3082	2024-01-22T20:30:00	2024-01-22T21:16:00	3	1008	1	0	5	421.57	0	421.57	46.37	54.8	363.42	308.62	58.15	54.8	0	299.31	122.26
FD-GDL-001	3	83	3083	2024-01-22T19:20:00	2024-01-22T21:13:00	2	1007	1	0	2	791.26	0	791.26	118.69	94.95	682.12	587.17	109.14	94.95	0	506.41	284.85
FD-GDL-001	2	84	3084	2024-01-22T13:22:00	2024-01-22T15:39:00	2	1008	1	0	12	652.72	0	652.72	104.44	0	562.69	562.69	90.03	0	0	469.96	182.76
FD-GDL-001	1	85	3085	2024-01-22T11:18:00	2024-01-22T13:20:00	6	1007	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0
FD-GDL-001	1	86	3086	2024-01-22T11:30:00	2024-01-22T12:37:00	2	1008	1	0	9	576.51	0	576.51	74.95	0	496.99	496.99	79.52	0	0	374.73	201.78
FD-GDL-001	3	87	3087	2024-01-22T20:39:00	2024-01-22T21:47:00	2	1008	1	0	12	582.16	0	582.16	40.75	0	501.86	501.86	80.3	0	0	360.94	221.22
FD-GDL-001	1	88	3088	2024-01-22T08:09:00	2024-01-22T09:56:00	2	1007	1	0	4	700.67	0	700.67	63.06	0	604.03	604.03	96.64	0	0	427.41	273.26
FD-GDL-001	1	89	3089	2024-01-22T10:24:00	2024-01-22T11:03:00	6	1008	1	0	8	682.17	0	682.17	68.22	0	588.08	588.08	94.09	0	0	538.91	143.26
FD-GDL-001	1	90	3090	2024-01-22T11:49:00	2024-01-22T13:28:00	3	1008	1	0	6	410.18	0	410.18	49.22	0	353.6	353.6	56.58	0	0	303.53	106.65
FD-GDL-001	3	91	3091	2024-01-22T22:00:00	2024-01-22T23:43:00	5	1007	1	0	8	506.41	0	506.41	75.96	0	436.56	436.56	69.85	0	0	349.42	156.99
FD-GDL-001	3	92	3092	2024-01-22T20:25:00	2024-01-22T21:40:00	1	1007	1	0	6	489.66	489.66	0	53.86	0	422.12	422.12	67.54	0	0	323.18	166.48
FD-GDL-001	3	93	3093	2024-01-22T21:11:00	2024-01-22T22:32:00	3	1007	1	0	5	686.6	686.6	0	61.79	0	591.9	591.9	94.7	0	0	494.35	192.25
FD-GDL-001	2	94	3094	2024-01-22T14:57:00	2024-01-22T16:10:00	2	1008	1	0	10	382.99	0	382.99	49.79	0	330.16	330.16	52.83	0	0	260.43	122.56
FD-GDL-001	1	95	3095	2024-01-22T08:44:00	2024-01-22T09:56:00	6	1008	1	0	8	526.75	526.75	0	68.48	0	454.09	454.09	72.66	0	0	400.33	126.42
FD-GDL-001	1	96	3096	2024-01-22T10:45:00	2024-01-22T11:39:00	1	1007	1	0	4	698.93	698.93	0	83.87	0	602.53	602.53	96.4	0	0	426.35	272.58
FD-GDL-001	3	97	3097	2024-01-22T22:05:00	2024-01-22T23:12:00	4	1007	1	0	9	319.17	0	319.17	44.68	0	275.15	275.15	44.02	0	0	207.46	111.71
FD-GDL-001	3	98	3098	2024-01-22T20:32:00	2024-01-22T21:22:00	1	1008	1	0	2	432.18	432.18	0	64.83	0	372.57	372.57	59.61	0	0	263.63	168.55
FD-GDL-001	2	99	3099	2024-01-22T14:54:00	2024-01-22T16:41:00	5	1007	1	0	4	512.51	512.51	0	71.75	0	441.82	441.82	70.69	0	0	322.88	189.63
FD-GDL-001	2	100	3100	2024-01-22T14:15:00	2024-01-22T15:53:00	1	1007	1	0	8	585.32	585.32	0	76.09	0	504.59	504.59	80.73	0	0	415.58	169.74
FD-GDL-001	1	101	3101	2024-01-22T10:11:00	2024-01-22T11:30:00	6	1008	1	0	2	733.25	733.25	0	109.99	0	632.11	632.11	101.14	0	0	491.28	241.97
FD-GDL-001	2	102	3102	2024-01-22T13:22:00	2024-01-22T15:26:00	5	1008	1	0	7	450.64	450.64	0	63.09	0	388.48	388.48	62.16	0	0	315.45	135.19
FD-GDL-001	3	103	3103	2024-01-22T19:12:00	2024-01-22T20:02:00	6	1008	1	0	12	768.24	768.24	0	84.51	0	662.28	662.28	105.96	0	0	468.63	299.61
FD-GDL-001	2	104	3104	2024-01-22T16:51:00	2024-01-22T17:51:00	3	1008	1	0	8	519.73	519.73	0	57.17	0	448.04	448.04	71.69	0	0	379.4	140.33
FD-GDL-001	3	105	3105	2024-01-22T20:06:00	2024-01-22T21:38:00	2	1007	1	0	6	738.67	0	738.67	88.64	0	636.78	636.78	101.89	0	0	494.91	243.76
FD-GDL-001	1	106	3106	2024-01-22T09:44:00	2024-01-22T11:45:00	6	1007	1	0	2	409.26	0	409.26	32.74	0	352.81	352.81	56.45	0	0	298.76	110.5
FD-GDL-001	3	107	3107	2024-01-22T22:01:00	2024-01-22T23:41:00	4	1007	1	0	8	378.83	0	378.83	34.09	45.46	326.58	281.12	52.25	45.46	0	227.3	151.53
FD-GDL-001	1	108	3108	2024-01-22T11:08:00	2024-01-22T12:01:00	2	1008	1	0	6	640.35	0	640.35	96.05	0	552.03	552.03	88.32	0	0	397.02	243.33
FD-GDL-001	2	109	3109	2024-01-22T16:55:00	2024-01-22T18:01:00	4	1007	1	0	6	757.55	0	757.55	83.33	0	653.06	653.06	104.49	0	0	583.31	174.24
FD-GDL-001	1	110	3110	2024-01-22T10:25:00	2024-01-22T12:18:00	6	1008	1	0	3	323.8	0	323.8	38.86	0	279.14	279.14	44.66	0	0	210.47	113.33
FD-GDL-001	1	111	3111	2024-01-22T10:49:00	2024-01-22T11:32:00	1	1008	1	0	9	490.98	490.98	0	63.83	0	423.26	423.26	67.72	0	0	319.14	171.84
FD-GDL-001	1	112	3112	2024-01-22T10:19:00	2024-01-22T11:52:00	2	1007	1	0	2	572.58	0	572.58	57.26	0	493.6	493.6	78.98	0	0	395.08	177.5
FD-GDL-001	2	113	3113	2024-01-22T13:49:00	2024-01-22T14:25:00	1	1008	1	0	4	523.01	0	523.01	78.45	0	450.87	450.87	72.14	0	0	376.57	146.44
FD-GDL-001	3	114	3114	2024-01-22T19:46:00	2024-01-22T21:21:00	5	1007	1	0	8	766.63	766.63	0	76.66	0	660.89	660.89	105.74	0	0	574.97	191.66
FD-GDL-001	2	115	3115	2024-01-22T16:01:00	2024-01-22T17:41:00	1	1007	1	0	5	341.97	341.97	0	51.3	0	294.8	294.8	47.17	0	0	242.8	99.17
FD-GDL-001	2	116	3116	2024-01-22T15:39:00	2024-01-22T17:26:00	2	1008	1	0	7	462.41	0	462.41	36.99	0	398.63	398.63	63.78	0	0	346.81	115.6
FD-GDL-001	1	117	3117	2024-01-22T10:27:00	2024-01-22T11:57:00	2	1007	1	0	7	616.87	616.87	0	61.69	0	531.78	531.78	85.09	0	0	468.82	148.05
FD-GDL-001	3	118	3118	2024-01-22T22:19:00	2024-01-22T23:22:00	4	1008	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
FD-GDL-001	1	119	3119	2024-01-22T11:27:00	2024-01-22T12:43:00	4	1007	1	0	12	760.42	0	760.42	76.04	0	655.53	655.53	104.89	0	0	494.27	266.15
FD-GDL-001	2	120	3120	2024-01-22T16:44:00	2024-01-22T18:19:00	3	1007	1	0	4	494.52	0	494.52	64.29	44.51	426.31	381.8	68.21	44.51	0	326.38	168.14
